U\.S\.,United States
#killary,#HillaryIskiller 
killary ,Hillary Is killer 
#tcot,#TopConservativesOnTwitter
tcot,Top Conservatives on Twitter
US,United States
RT,retweet
#mpotus,#MadamPresidentOfTheUnitedStates
##mpotus,##MadamPresidentOfTheUnitedStates
mpotus ,Madam President of the United States
#potus,#PresidentOfTheUnitedStates
@potus,@PresidentOfTheUnitedStates
potus ,President of the United States
#HRC2016,#HillaryClinton2016
HRC2016 ,Hillary Clinton 2016
#MSM,#MainStreamMedia
MSM,Main Stream Media 
#LGBT,#LesbianGayBisexualTransgender
LGBT ,Lesbian  Gay  Bisexual Transgender
#PFLAG,#ParentsFamiliesFriendsOfLesbiansAndGaysOrganization
PFLAG ,Parents Families Friends of Lesbians and Gays Organization
#GLAAD,#GayLesbianAllianceAgainstDefamation
GLAAD,Gay  Lesbian Alliance Against Defamation
#pjnet,#ConservativePatriotJournalistNetwork
@PJNET,@ConservativePatriotJounalistNetwork
pjnet,Conservative Patriot Journalist Network
#GOP,#GrandOldRepublicanParty
@GOP,@GrandOldRepublicanParty
GOP,Grand Old Republican Party
IRS,Internal Revenue Service
#oip,#ObamaImpeachmentParty
oip,Obama Impeachment Party
prez,President 
PAC,Political Action Committee
FEC,Federal Election Commission
#p2,#Progressive
p2,Progressive
#UTEP,#UniversityOfTexasAtElPaso
#CEO,# ChiefExecutiveOfficer
CEO,Chief executive officer
#TPOT,#TrueProgressivesOnTwitter
TPOT,True Progressives on Twitter
#NCPOL,#NorthCarolinaPolitics
NCPOL,North Carolina Politics
#USA,#UnitedStatesOfAmerica
USA,United States of America
IA,Iowa
Dept,Department
pres,President
#tlot,#TopLibertariansOnTwitter
tlot,Top Libertarians on Twitter
#ocra,#OrganizedConservativeResistanceAlliance
ocra,Organized Conservative Resistance Alliance
&,and
gov't,government
LMAO,Laughing My Ass Off
POTU,#PresidentOfTheUnitedStates
POTU,President of the United States
#TopProg,#TopProgressive
TopProg,Top Progressive
Dem,Democrat
Dems,Democrats
Repub,Rebublican
Repubs,Republicans
#SCOTUS,#SupremeCourtOfUnitedStates
@SCOTUS,@SupremeCourtOfTheUnitedStates
SCOTUS,Supreme Court Of the United States
#repealthe8th,#RepealtheEighthIrishAmendmentToAllowWomenControllingTheirBodiesAndHealth
#rally4life,#RallyForLifeCanadianCharity
rallyforlife,Rally For Life Canadian Charity
ccot,Conservative Christians on Twitter
#ccot,#ConservativeChristiansOnTwitter
#prolifegen,#ProlifeGeneration
#2A,#SecondAmendmentOfTheUnitedStatesConstitutionForProtectingGunRights
#SCOTUSMarriage ,#SupremeCourtOfTheUnitedStatesLegalizedGayMarriage
#COS,#ConventionOfStates
#peipoli,#PrinceEdwardIslandCanadianProvincePolitics
#NRA,#NationalRifleAssociation
@nra,@NationalRiffleAssociation
NRA,National Rifle Association
#cdnpoli,#CanadianPolitics
#ISIS,#IslamicStateOfIraqAndSyria
ISIS,Islamic State Of Iraq And Syria
#ISIL,#IslamicStateOfIraqAndLevant
ISIL,Islamic State Of Iraq And Levant
#1A,#FirstAmendmentOfTheUnitedStatesConstitutionForFreedomOfReligiousExpression
#TGDN,#TwitterGulagDefenseNetworkForConservatives
TGDN,Twitter Gulag Defense Network for Conservatives
#ygk,#KingstonCityInCanada 
#roevwade,#RoeVWadeSupremeCourtCaseLegalizedAbortion 
#DNC,#DemocraticNationalCommittee
DNC,Democratic National Committee
#ACA,#ObamaAffordableCareAct 
ACA,ObamaAffordable Care Act 
#SCOTUScare ,#SupermeCourtOfTheUnitedStatesObama Care
#peivotes,#PrinceEdwardIslandCanadaVotes 
#reprohealth,#ReproductiveHealth
#auspol,#AustralianPolitics
#ycot,#YoungConservativesOnTwitter
#LibCrib,#LiberalsCrib  
#abvote,#AlbertaProvincialElection 
#VinB,#VincentBrowneShow
#onpoli,#OntarioPolitics
#ReproJustice ,#ReproductiveJustice
#WAAR,#WeAreAmericanRefugees 
#wtf,#WhatTheFuck 
#HRCtte,#HumanRightsCommittee
#reprorights,#ReproductiveRights
Reprorights,Reproductive Rights
Reprojustice,Reproductive Justice
repro ,Reproductive
#fem2,#FeminismFuture
